word,word_count,x_coord,y_coord,rank
te,763785.0,1.4686515,0.18674514,0
nga,356423.0,0.6679434,0.15660536,1
e,388836.0,0.755963,0.781116,2
o,355744.0,1.0955852,0.8266408,3
ki,259854.0,1.3049788,0.41776848,4
ana,164222.0,0.59895027,0.66950494,5
ka,180435.0,1.9754822,-0.2888703,6
ko,186736.0,2.1820276,0.12293514,7
kia,131710.0,0.11459048,1.7808048,8
mo,112160.0,-1.0921735,-4.149782,9
mai,104295.0,1.4506512,0.16002864,10
atu,100796.0,1.3170587,-0.016064893,11
ai,93646.0,0.6344552,0.81298584,12
nei,95017.0,1.2892187,0.4732904,13
tangata,84757.0,0.7530416,0.1208467,14
mea,86448.0,0.38472047,-0.09284199,15
ia,81436.0,1.4151856,0.67443144,16
tenei,80172.0,0.82706016,0.52913934,17
ano,74623.0,0.86611825,0.43513122,18
taua,63011.0,0.84139943,0.26524326,19
hoki,62556.0,0.7243341,0.3889145,20
kua,70881.0,1.083258,0.21423884,21
maori,75488.0,-1.8791189,2.0625932,22
ratou,55221.0,-0.39501154,0.7073241,23
hei,51874.0,0.5747455,1.336691,24
ra,52597.0,1.7109952,0.045247097,25
kai,50962.0,0.7072453,-0.66462636,26
mahi,48292.0,-0.15924014,1.4314917,27
iwi,46442.0,-0.51280314,1.333433,28
runga,40313.0,1.665613,1.1420269,29
na,57712.0,1.3777164,0.5000852,30
haere,42127.0,1.7058027,-0.26625243,31
roto,39195.0,0.9782866,0.347907,32
whenua,43701.0,-3.2499394,2.761257,33
katoa,43258.0,0.7430995,-0.1010938,34
pai,38474.0,0.40369907,0.20416778,35
tetahi,37481.0,0.9184176,0.28108212,36
kei,41606.0,0.37679726,-0.67678326,37
koutou,37359.0,1.1546746,2.8187437,38
korero,37583.0,-0.7811781,2.7211156,39
kupu,37062.0,-0.13236119,2.8204896,40
tona,34015.0,2.084042,0.17071596,41
nui,39374.0,0.915679,0.18290146,42
ake,30889.0,1.4026192,0.017168436,43
tonu,29851.0,1.0458723,0.12149735,44
kore,29963.0,-0.054402363,1.4932301,45
tana,31176.0,1.1031821,-1.3667979,46
tae,27837.0,1.9108022,0.20516501,47
ite,29313.0,1.1297652,-0.44206652,48
aua,27266.0,-0.1003519,0.80302244,49
mete,28737.0,1.4852684,-0.91302794,50
ote,26338.0,1.3302346,0.060017396,51
tau,30223.0,-0.81008506,-4.174636,52
pakeha,30298.0,-1.6319138,1.0076615,53
noa,26570.0,0.91553307,-0.95326203,54
rawa,26000.0,0.96158904,0.4206094,55
tikanga,25873.0,-1.2640308,3.2596638,56
tu,24765.0,1.4880071,0.3408468,57
koe,26898.0,1.6016719,3.0028327,58
matou,24028.0,-1.322076,1.6327965,59
etahi,22033.0,0.3355093,0.49934438,60
kaore,24878.0,0.6999828,1.5575422,61
hoa,24192.0,1.3651245,3.2893546,62
whare,24516.0,1.215851,-2.7608461,63
ara,23093.0,1.3182318,0.43870038,64
ranei,23057.0,-2.2472682,2.4405067,65
tika,20991.0,-1.3637704,2.5983713,66
utu,21794.0,-1.573708,-4.564037,67
enei,19545.0,0.6411094,0.41853517,68
noho,18532.0,2.2226315,0.23277266,69
tena,21619.0,1.0242983,2.3704133,70
taku,18934.0,1.1660128,2.3475919,71
tatou,19190.0,0.27911234,1.6401986,72
whakaaro,18792.0,-0.1936538,2.2010329,73
ture,19795.0,-0.30291602,4.9242315,74
moni,19262.0,-2.1025617,-4.5953674,75
tera,19291.0,1.1541249,-0.42815202,76
raua,17479.0,4.3711915,-0.28478274,77
tino,17121.0,-0.30639714,0.9254018,78
ahau,17133.0,0.66867024,2.6137874,79
reira,18846.0,0.76353776,0.32764924,80
ona,16104.0,2.1321952,0.037102215,81
iho,20268.0,1.42232,-0.11895851,82
puta,15549.0,1.4395747,0.67787564,83
kotahi,18853.0,-0.82469445,-4.89154,84
wahi,14277.0,-0.06361356,0.6512024,85
mohio,13647.0,0.37173548,2.1834002,86
rua,15982.0,-0.42395762,-5.0632725,87
kau,13959.0,0.8777063,-5.4975286,88
