,index,year
0,1842,864
1,1843,1073
2,1844,1490
3,1845,1354
4,1846,66
5,1848,16582
6,1849,14206
7,1850,15176
8,1851,14862
9,1852,16977
10,1853,17157
11,1854,5311
12,1855,11682
13,1856,9392
14,1857,16597
15,1858,21067
16,1859,11114
17,1860,24799
18,1861,13707
19,1862,12445
20,1863,12309
21,1864,6727
22,1865,7697
23,1866,2893
24,1867,5363
25,1868,3976
26,1869,2790
27,1870,2060
28,1871,3074
29,1872,8216
30,1873,9639
31,1874,19894
32,1875,41359
33,1876,56282
34,1877,59936
35,1878,48417
36,1879,16358
37,1881,500
38,1882,4296
39,1883,11414
40,1884,17173
41,1885,6739
42,1886,6869
43,1887,7234
44,1888,2988
45,1890,3670
46,1892,1688
47,1893,12685
48,1894,10820
49,1895,2838
50,1896,898
51,1897,346
52,1898,27839
53,1899,25302
54,1900,15674
55,1901,9013
56,1902,7023
57,1903,10056
58,1904,16519
59,1905,30501
60,1906,6330
61,1907,303
62,1909,305
63,1911,9421
64,1912,16303
65,1913,7409
66,1914,73
67,1915,53
68,1916,75
69,1919,5
70,1920,42
71,1924,11
72,1935,16
