Format,Code,Publication,Articles,Pages,Documents
Letters and Diaries,MCLEAN,The Papers of Sir Donald McLean,5889,23382,5889
Magazines and Journals,AOMREC,"Aotearoa, or the Maori Recorder",80,64,2
Magazines and Journals,CPG,Canterbury Police Gazette,1928,1498,249
Magazines and Journals,FORBI,Forest and Bird,1458,1468,73
Magazines and Journals,FP,Fair Play,1509,724,27
Magazines and Journals,FRERE,Freethought Review,860,385,24
Magazines and Journals,HOAMA,Hoa Maori,385,351,44
Magazines and Journals,KAEA,Kaea,166,192,5
Magazines and Journals,KOPARA,Kopara,1451,1086,87
Magazines and Journals,KT,Kai Tiaki : the journal of the nurses of New Zealand,6092,5248,89
Magazines and Journals,LADMI,Ladies' Mirror,9043,3711,54
Magazines and Journals,MAOREC,Maori Record : a journal devoted to the advancement of the Maori people,324,287,25
Magazines and Journals,MUKA,Muka,2532,950,98
Magazines and Journals,NZI,New Zealand Illustrated Magazine,6406,5955,72
Magazines and Journals,NZPG,New Zealand Police Gazette,58367,41171,2795
Magazines and Journals,NZT,New Zealand Tablet,294580,100241,2747
Magazines and Journals,OPG,Otago Police Gazette,1737,1025,161
Magazines and Journals,P,Progress,17806,7178,214
Magazines and Journals,PIPIWH,Pipiwharauroa,3562,2065,185
Magazines and Journals,REOHO,Reo ote Hokowhitu-a-Tu,22,12,3
Magazines and Journals,RIU,Rip It Up,9109,2797,102
Magazines and Journals,TAH,Te Ao Hou,7061,5182,76
Magazines and Journals,TLR,Turnbull Library Record,1523,6861,91
Magazines and Journals,TOATAK,Toa Takitini,2227,2271,116
Magazines and Journals,TPRSNZ,Transactions and Proceedings of the Royal Society of New Zealand,9483,63750,88
Magazines and Journals,TRSBIO,Transactions of the Royal Society of New Zealand : Biological Sciences,80,490,40
Magazines and Journals,TRSBOT,Transactions of the Royal Society of New Zealand : Botany,132,895,66
Magazines and Journals,TRSES,Transactions of the Royal Society of New Zealand : Earth Sciences,48,448,24
Magazines and Journals,TRSGEN,Transactions of the Royal Society of New Zealand : General,68,445,34
Magazines and Journals,TRSGEO,Transactions of the Royal Society of New Zealand : Geology,188,1668,94
Magazines and Journals,TRSZOO,Transactions of the Royal Society of New Zealand : Zoology,448,2691,224
Magazines and Journals,TUTANG,Tu Tangata,1850,1824,36
Magazines and Journals,WCHG,Waiapu Church Gazette,14881,5128,424
Magazines and Journals,WCHT,Waiapu Church Times,515,148,12
Magazines and Journals,WHIRIB,White Ribbon,25907,9834,731
Newspapers,ACNZC,Auckland Chronicle and New Zealand Colonist,1733,344,86
Newspapers,AG,Ashburton Guardian,1888573,130535,22041
Newspapers,AHCOG,Alexandra Herald and Central Otago Gazette,132144,17349,2292
Newspapers,AKTIM,Auckland Times,890,228,61
Newspapers,ALG,Albertland Gazette,143,44,11
Newspapers,AMBPA,Akaroa Mail and Banks Peninsula Advertiser,243324,25866,6593
Newspapers,AMW,Anglo-Maori Warder,475,104,26
Newspapers,AONUPEP,Aotearoa : he Nupepa ma nga Tangata Maori,23,12,2
Newspapers,AS,Auckland Star,4141154,280737,23356
Newspapers,ASHH,Ashburton Herald,26307,3030,773
Newspapers,BA,Bush Advocate,312248,24711,4061
Newspapers,BH,Bruce Herald,326483,34482,5388
Newspapers,BOPT,Bay of Plenty Times,983909,79802,16474
Newspapers,BPB,Bay of Plenty Beacon,99250,12013,1598
Newspapers,CHARG,Charleston Argus,225,48,12
Newspapers,CHP,Press,3474407,274395,25621
Newspapers,CL,Clutha Leader,222369,27015,3556
Newspapers,CROMARG,Cromwell Argus,172343,22644,3389
Newspapers,DOM,Dominion,619841,46992,4073
Newspapers,DSC,Daily Southern Cross,300240,32496,6142
Newspapers,DTN,Daily Telegraph,353588,23508,5840
Newspapers,DUNST,Dunstan Times,224474,25799,4245
Newspapers,EG,Ellesmere Guardian,222513,24112,4370
Newspapers,EP,Evening Post,3979157,247140,25259
Newspapers,ESD,Evening Star,2896903,209731,24478
Newspapers,FRTIM,Franklin Times,215082,26071,3750
Newspapers,FS,Feilding Star,986205,58348,13042
Newspapers,GBARG,Golden Bay Argus,45621,6863,1276
Newspapers,GEST,Greymouth Evening Star,436314,34013,5780
Newspapers,GISH,Gisborne Herald,596844,30319,3600
Newspapers,GIST,Gisborne Times,1002254,78572,10401
Newspapers,GLOBE,Globe,90984,10304,2688
Newspapers,GRA,Grey River Argus,948479,71228,16419
Newspapers,HAEATA,Haeata,357,146,36
Newspapers,HAST,Hastings Standard,600054,46642,7709
Newspapers,HAWST,Hawera Star,528361,38888,3616
Newspapers,HBH,Hawke's Bay Herald,582612,39705,9567
Newspapers,HBT,Hawke's Bay Times,35364,6622,1606
Newspapers,HBWT,Hawke's Bay Weekly Times,3090,548,105
Newspapers,HC,Horowhenua Chronicle,579762,49412,8601
Newspapers,HIIR,Hiiringa i te Whitu,3,1,1
Newspapers,HLC,Hot Lakes Chronicle,3475,428,106
Newspapers,HN,Hutt News,67371,9315,1105
Newspapers,HNS,Hawera & Normanby Star,1129238,71529,12142
Newspapers,HOG,Hokitika Guardian,573905,43031,7421
Newspapers,HOKIOI,"Hokioi o Nui-Tireni, e rere atuna",51,29,9
Newspapers,HUIA,Huia Tangata Kotahi,997,367,67
Newspapers,HVI,Hutt Valley Independent,12897,1571,471
Newspapers,INDU,Industrial Unionist,705,76,19
Newspapers,IT,Inangahua Times,251088,24015,8567
Newspapers,JUBIL,Jubilee : Te Tiupiri,2193,1178,78
Newspapers,KAHITI,"Kahiti Tuturu mo Aotearoa, me te Waipounamu",56,28,3
Newspapers,KCC,King Country Chronicle,317356,32956,4324
Newspapers,KOP,Karere o Poneke,818,233,54
Newspapers,KORIM,Korimako,3394,1024,82
Newspapers,KUMAT,Kumara Times,99433,12950,3286
Newspapers,KWE,Kaipara and Waitemata Echo,18767,2162,543
Newspapers,LCM,Lake County Mail,3166,446,52
Newspapers,LCP,Lake County Press,117578,15433,2660
Newspapers,LT,Lyttelton Times,1722115,160233,18765
Newspapers,LTCBG,Lyell Times and Central Buller Gazette,1800,304,76
Newspapers,LWM,Lake Wakatip Mail,237391,27815,4466
Newspapers,MATAR,Matariki,20,7,2
Newspapers,MATREC,Matamata Record,128770,14193,2002
Newspapers,MATUH,Matuhi,2587,1546,136
Newspapers,MDTIM,Marlborough Daily Times,92775,9510,2431
Newspapers,ME,Mataura Ensign,519186,44998,7289
Newspapers,MEX,Marlborough Express,1129043,74359,13902
Newspapers,MH,Manawatu Herald,368185,31349,8075
Newspapers,MIC,Mount Ida Chronicle,155033,17167,4101
Newspapers,MKURA,Mareikura,798,256,18
Newspapers,MMTKM,Maori Messenger : Te Karere Maori,5448,3019,333
Newspapers,MOST,Motueka Star,9849,1830,316
Newspapers,MPRESS,Marlborough Press,36769,4958,1196
