n_neighbors,min_dist,word,word_count,x_coord,y_coord,rank
4,0.8,te,762324,0.27964193,0.20618635,0
4,0.8,i,642569,0.3097766,0.20986369,1
4,0.8,e,388199,0.33861184,0.2744812,2
4,0.8,nga,356046,0.29966477,0.24523301,3
4,0.8,o,355314,0.27672467,0.20272422,4
4,0.8,a,327480,0.14357674,0.18712474,5
4,0.8,ki,259369,0.32362258,0.19232288,6
4,0.8,he,192361,0.2625906,0.117011085,7
4,0.8,ko,186422,0.016936515,0.18119875,8
4,0.8,ka,180211,0.2401159,-0.08122917,9
4,0.8,to,174995,0.09465076,0.054474674,10
4,0.8,ana,163977,0.3565735,0.20980917,11
4,0.8,kite,157514,0.34257084,0.19470553,12
4,0.8,kia,131493,0.2916703,0.27548933,13
4,0.8,mo,111996,0.18169542,0.34238395,14
4,0.8,mai,103949,0.2931044,0.17456985,15
4,0.8,me,101849,0.23984092,0.24966466,16
4,0.8,atu,100653,0.32061702,0.17213112,17
4,0.8,nei,94912,0.3034053,0.2342563,18
4,0.8,ai,93525,0.34534094,0.24350111,19
4,0.8,mea,86299,0.33878952,0.23058526,20
4,0.8,tangata,84622,0.36231768,0.21744832,21
4,0.8,ia,81342,0.3214809,0.22180226,22
4,0.8,tenei,79983,0.29558253,0.27511653,23
4,0.8,maori,74927,0.27857298,0.34671792,24
4,0.8,ano,74391,0.32857513,0.23572376,25
4,0.8,kua,70305,0.32485503,0.22491623,26
4,0.8,taua,62922,0.32944384,0.24787465,27
4,0.8,hoki,62490,0.36647096,0.19465849,28
4,0.8,na,57495,0.13461523,0.13384777,29
4,0.8,no,56456,0.12244157,0.0639119,30
4,0.8,ratou,55179,0.36396158,0.19973467,31
4,0.8,ra,52527,0.28384325,0.16553168,32
4,0.8,hei,51621,0.3194388,0.30745047,33
4,0.8,kai,50281,0.27205983,0.17324454,34
4,0.8,mahi,48250,0.3288953,0.27214712,35
4,0.8,ma,46803,0.27240083,0.25685918,36
4,0.8,iwi,46397,0.31289527,0.2259199,37
4,0.8,katoa,43081,0.2821312,0.28806934,38
4,0.8,whenua,43097,0.21872601,0.4366934,39
4,0.8,haere,41945,0.22563526,-0.041178625,40
4,0.8,kei,41541,0.20711786,0.0778735,41
4,0.8,runga,40243,0.30930534,0.21513142,42
